names,years,num_trips
Broad St & Bridge St,2013,6496
Broad St & Bridge St,2014,10086
Broad St & Bridge St,2015,11805
Broad St & Bridge St,2016,9659
Broadway & Battery Pl,2013,16358
Broadway & Battery Pl,2014,22922
Broadway & Battery Pl,2015,28172
Broadway & Battery Pl,2016,36674
Broadway & Berry St,2013,4412
Broadway & Berry St,2014,6939
Broadway & Berry St,2015,9747
Broadway & Berry St,2016,10915
Broadway & E 14 St,2013,42221
Broadway & E 14 St,2014,65852
Broadway & E 14 St,2015,73682
Broadway & E 14 St,2016,62665
Broadway & E 22 St,2013,35100
Broadway & E 22 St,2014,60932
Broadway & E 22 St,2015,67497
Broadway & E 22 St,2016,73865
Broadway & Roebling St,2015,808
Broadway & Roebling St,2016,8028
Broadway & W 24 St,2013,35090
Broadway & W 24 St,2014,58590
Broadway & W 24 St,2015,60968
Broadway & W 24 St,2016,57065
Broadway & W 29 St,2013,20349
Broadway & W 29 St,2014,32879
Broadway & W 29 St,2015,40819
Broadway & W 29 St,2016,38453
Broadway & W 32 St,2013,22696
Broadway & W 32 St,2014,38305
Broadway & W 32 St,2015,39169
Broadway & W 32 St,2016,38642
Broadway & W 36 St,2013,11816
Broadway & W 36 St,2014,24560
Broadway & W 36 St,2015,21921
Broadway & W 36 St,2016,18604
Broadway & W 37 St,2013,11045
Broadway & W 37 St,2014,22971
Broadway & W 37 St,2015,22011
Broadway & W 37 St,2016,19220
Broadway & W 39 St,2013,14210
Broadway & W 39 St,2014,22805
Broadway & W 39 St,2015,28630
Broadway & W 39 St,2016,28631
Broadway & W 41 St,2013,24469
Broadway & W 41 St,2014,43369
Broadway & W 41 St,2015,39405
Broadway & W 41 St,2016,31029
Broadway & W 49 St,2013,21874
Broadway & W 49 St,2014,33279
Broadway & W 49 St,2015,38216
Broadway & W 49 St,2016,39678
Broadway & W 51 St,2013,16670
Broadway & W 51 St,2014,26226
Broadway & W 51 St,2015,32548
Broadway & W 51 St,2016,25283
Broadway & W 53 St,2013,21262
Broadway & W 53 St,2014,21942
Broadway & W 53 St,2015,23449
Broadway & W 53 St,2016,25046
Broadway & W 55 St,2013,20632
Broadway & W 55 St,2014,25443
Broadway & W 55 St,2015,36269
Broadway & W 55 St,2016,35150
Broadway & W 58 St,2013,28849
Broadway & W 58 St,2014,41576
Broadway & W 58 St,2015,46566
